Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium sporogenes	[212]
L-Serine (Serine, D-Serine)	Consumption (import)	Clostridium tetani	[212]
L-Serine (Serine, D-Serine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Serine (Serine, D-Serine)	Consumption (import)	Deinococcus radiodurans	[125]
L-Serine (Serine, D-Serine)	Consumption (import)	Fusobacterium nucleatum	[182]
L-Serine (Serine, D-Serine)	Consumption (import)	Methylobacterium nodulans	[427]
L-Serine (Serine, D-Serine)	Consumption (import)	Propionibacterium acnes	[307]
L-Serine (Serine, D-Serine)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[205]
L-Sorbose (Sorbose)	Consumption (import)	Klebsiella pneumoniae	[178]
L-Threonine (Threonine)	Consumption (import)	Acidovorax avenae	[360]
L-Threonine (Threonine)	Consumption (import)	Acidovorax delafieldii	[360]
L-Threonine (Threonine)	Consumption (import)	Baumannia cicadellinicola	[207]
L-Threonine (Threonine)	Consumption (import)	Clostridium botulinum	[212]
L-Threonine (Threonine)	Consumption (import)	Clostridium difficile	[212]
L-Threonine (Threonine)	Consumption (import)	Clostridium sporogenes	[212]
L-Threonine (Threonine)	Consumption (import)	Clostridium tetani	[212]
L-Threonine (Threonine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Threonine (Threonine)	Production (export)	Escherichia coli	[122]
L-Threonine (Threonine)	Consumption (import)	Fusobacterium nucleatum	[182]
L-Threonine (Threonine)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[205]
L-Tryptophan (Tryptophan)	Consumption (import)	Acidovorax avenae	[360]
L-Tryptophan (Tryptophan)	Consumption (import)	Acidovorax delafieldii	[360]
L-Tryptophan (Tryptophan)	Consumption (import)	Bacillus subtilis	[260]
L-Tryptophan (Tryptophan)	Consumption (import)	Baumannia cicadellinicola	[207]
L-Tryptophan (Tryptophan)	Consumption (import) & production (export)	Buchnera aphidicola	[78,241]
L-Tryptophan (Tryptophan)	Consumption (import)	Clostridium botulinum	[86,212]
L-Tryptophan (Tryptophan)	Consumption (import)	Clostridium difficile	[212]
L-Tryptophan (Tryptophan)	Consumption (import)	Clostridium sporogenes	[212,307]
L-Tryptophan (Tryptophan)	Consumption (import)	Clostridium sticklandii	[86]
L-Tryptophan (Tryptophan)	Consumption (import)	Clostridium tetani	[212]
L-Tryptophan (Tryptophan)	Consumption (import)	Colonocyte (host colon)	[336]
L-Tryptophan (Tryptophan)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)	[37]
L-Tryptophan (Tryptophan)	Consumption (import)	Odoribacter splanchnicus	[107]
L-Tryptophan (Tryptophan)	Consumption (import)	Ruminococcus albus	[37]
L-Tyrosine (Tyrosine)	Consumption (import)	Achromobacter piechaudii	[156]
L-Tyrosine (Tyrosine)	Consumption (import)	Bacteroides thetaiotaomicron	[307]
L-Tyrosine (Tyrosine)	Consumption (import)	Baumannia cicadellinicola	[368]
L-Tyrosine (Tyrosine)	Consumption (import)	Clostridium botulinum	[86,212]
L-Tyrosine (Tyrosine)	Consumption (import)	Clostridium difficile	[212]
L-Tyrosine (Tyrosine)	Consumption (import)	Clostridium sporogenes	[212]
L-Tyrosine (Tyrosine)	Consumption (import)	Clostridium sticklandii	[86]
L-Tyrosine (Tyrosine)	Consumption (import)	Clostridium tetani	[212]
L-Tyrosine (Tyrosine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Tyrosine (Tyrosine)	Consumption (import)	Streptococcus salivarius	[26]
L-Valine (Valine, D-Valine)	Consumption (import)	Aminobacterium colombiense	[302]
L-Valine (Valine, D-Valine)	Consumption (import)	Anaerotruncus colihominis	[170]
L-Valine (Valine, D-Valine)	Consumption (import)	Bacteroides thetaiotaomicron	[118]
L-Valine (Valine, D-Valine)	Consumption (import)	Baumannia cicadellinicola	[207]
L-Valine (Valine, D-Valine)	Consumption (import)	Clostridium difficile	[212]
L-Valine (Valine, D-Valine)	Consumption (import)	Colonocyte (host colon)	[336]
L-Valine (Valine, D-Valine)	Consumption (import)	Escherichia coli	[6]
L-Valine (Valine, D-Valine)	Consumption (import)	Streptococcus salivarius	[26]
Lactose	Consumption (import)	Actinobacillus succinogenes	[112]
Lactose	Consumption (import)	Aeromonas salmonicida	[2]
Lactose	Consumption (import)	Anaerococcus hydrogenalis	[90]
Lactose	Consumption (import)	Anaerococcus lactolyticus	[90]
Lactose	Consumption (import)	Bacteroides xylanisolvens	[44]
Lactose	Consumption (import)	Bifidobacterium adolescentis	[273,363]
Lactose	Consumption (import)	Bifidobacterium angulatum	[273,363]
Lactose	Consumption (import)	Bifidobacterium animalis	[273,363]
Lactose	Consumption (import)	Bifidobacterium bifidum	[155,273,363]
Lactose	Consumption (import)	Bifidobacterium breve	[273,363]
Lactose	Consumption (import)	Bifidobacterium catenulatum	[273,363]
Lactose	Consumption (import)	Bifidobacterium dentium	[273,363]
Lactose	Consumption (import)	Bifidobacterium gallicum	[273,363]
Lactose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[273,363,273,363]
Lactose	Consumption (import)	Bifidobacterium pseudocatenulatum	[273,363]
Lactose	Consumption (import)	Blautia hansenii	[181]
Lactose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Lactose	Consumption (import)	Butyrivibrio crossotus	[217]
Lactose	Consumption (import)	Butyrivibrio fibrisolvens	[217]
Lactose	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Lactose	Consumption (import)	Catenibacterium mitsuokai	[146]
Lactose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145]
Lactose	Consumption (import)	Collinsella stercoris	[145]
Lactose	Consumption (import)	Coprococcus comes	[124]
Lactose	Consumption (import)	Coprococcus eutactus	[124]
Lactose	Consumption (import)	Dorea formicigenerans	[333]
Lactose	Consumption (import)	Dorea longicatena	[333]
Lactose	Consumption (import)	Enterobacter cancerogenus	[273]
Lactose	Consumption (import)	Enterobacter cloacae	[273]
Lactose	Consumption (import)	Enterococcus casseliflavus	[363]
Lactose	Consumption (import)	Enterococcus faecalis (Streptococcus faecalis)	[363]
Lactose	Consumption (import)	Enterococcus faecium (Streptococcus faecium)	[363]
Lactose	Consumption (import)	Enterococcus gallinarum	[363]
Lactose	Consumption (import)	Enterococcus italicus	[363]
Lactose	Consumption (import)	Escherichia coli	[273,363]
Lactose	Consumption (import)	Eubacterium rectale	[199,301]
Lactose	Consumption (import)	Lactobacillus casei	[337]
Lactose	Consumption (import)	Lactobacillus delbrueckii	[245]
Lactose	Consumption (import)	Lactobacillus gasseri	[385]
Lactose	Consumption (import)	Lactobacillus helveticus	[245,390]
Lactose	Consumption (import)	Lactobacillus johnsonii	[379]
Lactose	Consumption (import)	Lactobacillus paracasei	[380]
Lactose	Consumption (import)	Lactobacillus reuteri	[381]
Lactose	Consumption (import)	Lactobacillus rhamnosus	[380]
Lactose	Consumption (import)	Lactobacillus salivarius	[390]
Lactose	Consumption (import)	Leptotrichia buccalis	[338]
Lactose	Consumption (import)	Leptotrichia goodfellowii	[87,338]
Lactose	Consumption (import)	Leptotrichia hofstadii	[338]
Lactose	Consumption (import)	Leuconostoc mesenteroides	[390]
Lactose	Consumption (import)	Marvinbryantia formatexigens	[364]
Lactose	Consumption (import)	Megamonas hypermegale	[277]
Lactose	Consumption (import)	Odoribacter splanchnicus	[107]
Lactose	Consumption (import)	Parabacteroides distasonis	[276]
Lactose	Consumption (import)	Parabacteroides merdae	[276]
Lactose	Consumption (import)	Pediococcus acidilactici	[382]
Lactose	Consumption (import)	Prevotella copri	[116]
Lactose	Consumption (import)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[163]
Lactose	Consumption (import)	Streptococcus agalactiae	[337]
Lactose	Consumption (import)	Streptococcus anginosus	[337]
Lactose	Consumption (import)	Streptococcus australis	[389,337]
Lactose	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[337]
Lactose	Consumption (import)	Streptococcus cristatus	[337]
Lactose	Consumption (import)	Streptococcus downei	[337]
Lactose	Consumption (import)	Streptococcus dysgalactiae	[337]
Lactose	Consumption (import)	Streptococcus equi	[337]
Lactose	Consumption (import)	Streptococcus gallolyticus	[337]
Lactose	Consumption (import)	Streptococcus gordonii	[337]
Lactose	Consumption (import)	Streptococcus infantarius	[337]
Lactose	Consumption (import)	Streptococcus infantis	[337]
Lactose	Consumption (import)	Streptococcus mitis	[337]
Lactose	Consumption (import)	Streptococcus mutans	[337]
Lactose	Consumption (import)	Streptococcus oralis	[337]
Lactose	Consumption (import)	Streptococcus parasanguinis	[383,337]
Lactose	Consumption (import)	Streptococcus peroris	[337]
Lactose	Consumption (import)	Streptococcus pneumoniae	[337]
Lactose	Consumption (import)	Streptococcus pseudoporcinus	[337]
Lactose	Consumption (import)	Streptococcus pyogenes	[337]
Lactose	Consumption (import)	Streptococcus salivarius	[390,337]
Lactose	Consumption (import)	Streptococcus sanguinis	[337]
Lactose	Consumption (import)	Streptococcus suis	[337]
Lactose	Consumption (import)	Streptococcus thermophilus	[245,337]
Lactose	Consumption (import)	Streptococcus uberis	[337]
Lactose	Consumption (import)	Streptococcus vestibularis	[384,337]
Lactose	Consumption (import)	Subdoligranulum variabile	[128]
Linoleic acid (Omega-6 fatty acid)	Production (export)	Bifidobacterium breve	[221]
Linoleic acid (Omega-6 fatty acid)	Production (export)	Bifidobacterium pseudocatenulatum	[177]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Butyrivibrio fibrisolvens	[115]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Colonocyte (host colon)	[336]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Roseburia intestinalis	[184]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Roseburia inulinivorans	[184]
Linoleic acid (Omega-6 fatty acid)	Consumption (import)	Ruminococcus albus	[115]
Lithocholic acid	Production (export)	Bacteroides fragilis	[29]
Lithocholic acid	Production (export)	Bacteroides thetaiotaomicron	[29]
Lithocholic acid	Production (export)	Bifidobacterium adolescentis	[29,330]
Lithocholic acid	Production (export)	Bifidobacterium animalis	[330]
Lithocholic acid	Production (export)	Bifidobacterium bifidum	[29,330]
Lithocholic acid	Production (export)	Bifidobacterium breve	[330]
Lithocholic acid	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[29,330]
Lithocholic acid	Production (export)	Clostridium hiranonis	[208,257]
Lithocholic acid	Production (export)	Clostridium hylemonae	[208]
Lithocholic acid	Production (export)	Clostridium leptum	[29,98,208]
Lithocholic acid	Production (export)	Clostridium perfringens	[29]
Lithocholic acid	Production (export)	Clostridium scindens	[29,98,208,257]
Lithocholic acid	Production (export)	Lactobacillus acidophilus	[16,330]
Lithocholic acid	Production (export)	Lactobacillus brevis	[330]
Lithocholic acid	Production (export)	Lactobacillus buchneri	[330]
Lithocholic acid	Production (export)	Lactobacillus gasseri	[16,330]
Lithocholic acid	Production (export)	Lactobacillus hilgardii	[330]
Lithocholic acid	Production (export)	Lactobacillus plantarum	[16,29,330]
Lithocholic acid	Production (export)	Listeria monocytogenes	[16,17]
Malonate	Consumption (import)	Achromobacter piechaudii	[151]
Maltose	Consumption (import)	Anaerotruncus colihominis	[170]
Maltose	Consumption (import)	Bacteroides xylanisolvens	[44]
Maltose	Consumption (import)	Bifidobacterium adolescentis	[345]
Maltose	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[345]
Maltose	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Maltose	Consumption (import)	Butyrivibrio crossotus	[217]
Maltose	Consumption (import)	Butyrivibrio fibrisolvens	[217]
Maltose	Consumption (import)	Butyrivibrio proteoclasticus	[217]
Maltose	Consumption (import)	Catenibacterium mitsuokai	[146]
Maltose	Consumption (import)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145,333]
Maltose	Consumption (import)	Collinsella stercoris	[145]
Maltose	Consumption (import)	Coprococcus comes	[124]
Maltose	Consumption (import)	Coprococcus eutactus	[124]
Maltose	Consumption (import)	Desulfovibrio piger	[88]
Maltose	Consumption (import)	Dorea formicigenerans	[333]
Maltose	Consumption (import)	Dorea longicatena	[333]
Maltose	Consumption (import)	Escherichia coli	[6,29,205]
Maltose	Consumption (import)	Eubacterium rectale	[301]
Maltose	Consumption (import)	Flavobacterium johnsoniae	[425]
Maltose	Consumption (import)	Leptotrichia buccalis	[87,338]
Maltose	Consumption (import)	Leptotrichia goodfellowii	[338]
Maltose	Consumption (import)	Leptotrichia hofstadii	[87,338]
Maltose	Consumption (import)	Marvinbryantia formatexigens	[364]
Maltose	Consumption (import)	Megamonas hypermegale	[277]
Maltose	Consumption (import)	Parabacteroides merdae	[276]
Maltose	Consumption (import)	Prevotella copri	[116]
Maltose	Consumption (import)	Pyrococcus furiosus	[6,160]
Maltose	Consumption (import)	Roseburia intestinalis	[83]
Maltose	Consumption (import)	Ruminococcus bromii	[121]
Maltose	Consumption (import)	Ruminococcus obeum	[181]
Maltose	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[205]
Maltose	Consumption (import)	Streptococcus gordonii	[141]
Maltose	Consumption (import)	Subdoligranulum variabile	[128]
Maltose	Consumption (import)	Sulfolobus solfataricus	[6,7]
Maltose	Consumption (import)	Thermotoga maritima	[160]
Melibiose	Consumption (import)	Aeromonas hydrophila	[2]
Melibiose	Consumption (import)	Bacteroides xylanisolvens	[44]
Melibiose	Consumption (import)	Coprococcus eutactus	[124]
Melibiose	Consumption (import)	Holdemania filiformis	[358]
Melibiose	Consumption (import)	Leptotrichia buccalis	[87]
Melibiose	Consumption (import)	Megamonas hypermegale	[277]
Melibiose	Consumption (import)	Roseburia intestinalis	[83]
Melibiose	Consumption (import)	Subdoligranulum variabile	[128]
Menaquinone (Vitamin K2)	Production (export)	Bacillus cereus	[22]
Menaquinone (Vitamin K2)	Production (export)	Bacillus megaterium	[22]
Menaquinone (Vitamin K2)	Production (export)	Bacillus mycoides	[22]
Menaquinone (Vitamin K2)	Production (export)	Bacillus subtilis	[22,39]
Menaquinone (Vitamin K2)	Production (export)	Bacteroides fragilis	[22]
Menaquinone (Vitamin K2)	Production (export)	Bacteroides ovatus	[58]
Menaquinone (Vitamin K2)	Production (export)	Bacteroides thetaiotaomicron	[118]
Menaquinone (Vitamin K2)	Production (export)	Bacteroides vulgatus	[57]
Menaquinone (Vitamin K2)	Consumption (import)	Baumannia cicadellinicola	[207]
Menaquinone (Vitamin K2)	Consumption (import)	Bifidobacterium adolescentis	[123]
Menaquinone (Vitamin K2)	Consumption (import)	Bifidobacterium bifidum	[123]
Menaquinone (Vitamin K2)	Consumption (import)	Bifidobacterium dentium	[123]
Menaquinone (Vitamin K2)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[123]
Menaquinone (Vitamin K2)	Production (export)	Brevibacillus brevis	[22]
Menaquinone (Vitamin K2)	Consumption (import)	Colonocyte (host colon)	[56,336]
Menaquinone (Vitamin K2)	Production (export)	Corynebacterium diphtheriae	[22]
Menaquinone (Vitamin K2)	Production (export)	Eggerthella lenta	[362]
Menaquinone (Vitamin K2)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[22,58]
Menaquinone (Vitamin K2)	Production (export)	Enterococcus faecium (Streptococcus faecium)	[58,58]
Menaquinone (Vitamin K2)	Production (export)	Escherichia coli	[22,39,58]
Menaquinone (Vitamin K2)	Consumption (import)	Haemophilus parainfluenzae	[22]
Menaquinone (Vitamin K2)	Production (export)	Lactococcus lactis	[173]
Menaquinone (Vitamin K2)	Consumption (import)	Mycobacterium avium	[22]
Menaquinone (Vitamin K2)	Consumption (import)	Mycobacterium leprae	[22]
Menaquinone (Vitamin K2)	Production (export)	Mycobacterium smegmatis	[22]
Menaquinone (Vitamin K2)	Production (export)	Mycobacterium tuberculosis	[22]
Menaquinone (Vitamin K2)	Consumption (import)	Porphyromonas gingivalis	[123]
Menaquinone (Vitamin K2)	Production (export)	Prevotella buccae	[58]
Menaquinone (Vitamin K2)	Consumption (import)	Prevotella melaninogenica (Bacteroides melaninogenicus)	[22,259]
Menaquinone (Vitamin K2)	Consumption (import)	Propionibacterium acnes	[22]
Menaquinone (Vitamin K2)	Production (export)	Staphylococcus aureus	[22,56,57]
Menaquinone (Vitamin K2)	Production (export)	Staphylococcus capitis	[58]
Menaquinone (Vitamin K2)	Production (export)	Staphylococcus epidermidis	[58]
Menaquinone (Vitamin K2)	Production (export)	Staphylococcus haemolyticus	[58]
Menaquinone (Vitamin K2)	Production (export)	Staphylococcus warneri	[58]
meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)	Consumption (import)	Acidovorax avenae	[360]
meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)	Consumption (import)	Acidovorax delafieldii	[360]
Methane (CH4)	Production (export)	Methanobrevibacter ruminantium	[172,327,Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanobrevibacter smithii	[46,172,199,281,301,Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocaldococcus fervens	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocaldococcus infernus	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocaldococcus jannaschii	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocaldococcus vulcanius	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocella paludicola	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanococcoides burtonii	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanococcus aeolicus	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanococcus maripaludis	[157,322,Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanococcus vannielii	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanococcus voltae	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanocorpusculum labreanum	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanoculleus marisnigri	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanohalobium evestigatum	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanohalophilus mahii	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanoplanus petrolearius	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanopyrus kandleri	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanoregula boonei	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanosaeta thermophila	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanosarcina acetivorans	[20,81,Supplementary Data 2d,180]
Methane (CH4)	Production (export)	Methanosarcina barkeri	[109,351,Supplementary Data 2d,180]
Methane (CH4)	Production (export)	Methanosarcina mazei	[319,Supplementary Data 2d,180]
Methane (CH4)	Production (export)	Methanosphaera stadtmanae	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanosphaerula palustris	[426]
Methane (CH4)	Production (export)	Methanospirillum hungatei	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanothermobacter marburgensis	[Supplementary Data 2d,180]
Methane (CH4)	Production (export)	Methanothermobacter thermautotrophicus	[Supplementary Data 2d,180]
Methane (CH4)	Production (export)	Methanothermococcus okinawensis	[Supplementary Data 2d]
Methane (CH4)	Production (export)	Methanothermus fervidus	[Supplementary Data 2d]
